stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Librairies\Documents\GitHub\AntiquityTrader\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.05282] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05283] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05288] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05289] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05291] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05292] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05294] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05298] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05299] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05329] Single Buffer requirement not met.
